date,BTC,ETH,BNB,XRP,ADA,DOGE,SOL,DOT,AVAX,LINK
2020-01-01,7200.85,130.77,13.7184,0.19305,0.03348,0.0020245,,,,1.8111
2020-01-02,6965.71,127.19,13.0105,0.1875,0.03269,0.0019951,,,,1.7366
2020-01-03,7344.96,134.35,13.6474,0.19338,0.03417,0.0020236,,,,1.804
2020-01-04,7354.11,134.2,13.8092,0.19305,0.03434,0.0020579,,,,1.8242
2020-01-05,7358.75,135.37,14.0532,0.19453,0.0346,0.0020696,,,,1.7957
2020-01-06,7758.0,144.15,14.9471,0.2231,0.03732,0.0021344,,,,1.9374
2020-01-07,8145.28,142.8,15.0226,0.21335,0.037,0.002175,,,,2.1033
2020-01-08,8055.98,140.72,14.5334,0.2075,0.03631,0.0020886,,,,2.1892
2020-01-09,7817.76,137.74,14.3978,0.20373,0.03616,0.0021282,,,,2.1886
2020-01-10,8197.02,144.84,15.07,0.21284,0.03693,0.0021973,,,,2.2257
2020-01-11,8020.01,142.38,14.9177,0.21121,0.03678,0.0021754,,,,2.2734
2020-01-12,8184.98,146.54,15.3366,0.21539,0.03792,0.0021963,,,,2.2383
2020-01-13,8110.34,143.58,15.1736,0.21134,0.03682,0.0021704,,,,2.1901
2020-01-14,8810.01,165.64,16.6371,0.23464,0.04161,0.0023581,,,,2.3751
2020-01-15,8821.41,166.4,17.6655,0.23367,0.04275,0.0023669,,,,2.3953
2020-01-16,8720.01,164.21,17.0333,0.229,0.04168,0.0023276,,,,2.4925
2020-01-17,8913.28,169.85,18.0724,0.23921,0.0449,0.0024868,,,,2.7006
2020-01-18,8915.96,174.14,17.8088,0.24357,0.04489,0.0025115,,,,2.7709
2020-01-19,8701.7,166.79,17.388,0.23558,0.042,0.0023982,,,,2.6212
2020-01-20,8642.35,166.87,17.3235,0.23314,0.04378,0.002376,,,,2.688
2020-01-21,8736.03,169.49,18.1166,0.23726,0.04602,0.0023673,,,,2.6716
2020-01-22,8682.36,168.07,17.8344,0.23733,0.04575,0.0023434,,,,2.6426
2020-01-23,8404.52,162.81,17.0524,0.22586,0.04318,0.0022514,,,,2.4698
2020-01-24,8439.0,162.54,17.1148,0.22222,0.04495,0.0022698,,,,2.5024
2020-01-25,8340.58,160.35,16.9555,0.21946,0.04314,0.002251,,,,2.4468
2020-01-26,8615.0,167.86,17.499,0.23131,0.04477,0.0022854,,,,2.5764
2020-01-27,8907.57,170.08,17.67,0.23077,0.04796,0.0023594,,,,2.6055
2020-01-28,9374.21,175.64,18.0662,0.23906,0.0529,0.0024412,,,,2.6558
2020-01-29,9301.53,173.72,17.9134,0.23539,0.05329,0.0023865,,,,2.7773
2020-01-30,9513.21,184.69,18.5555,0.24376,0.05614,0.002414,,,,2.9156
2020-01-31,9352.89,179.99,18.2644,0.23946,0.0539,0.0023776,,,,2.8259
2020-02-01,9384.61,183.6,18.2752,0.24141,0.0561,0.002417,,,,2.8378
2020-02-02,9331.51,188.44,18.4333,0.25093,0.0557,0.0024406,,,,2.8267
2020-02-03,9292.24,189.69,18.46,0.25453,0.05696,0.0024156,,,,2.771
2020-02-04,9197.02,188.91,18.1778,0.26737,0.05601,0.0025169,,,,2.7395
2020-02-05,9612.04,203.78,19.262,0.27774,0.05933,0.0025826,,,,2.839
