date,BTC,ETH,BNB,XRP,ADA,DOGE,SOL,DOT,AVAX,LINK
2020-01-01,16792.388165,144770.52197,940625.04,29773022.6,29827408.5,31462868.0,,,,1158748.32
2020-01-02,31951.483932,213757.05806,971190.67,47912105.6,42826456.1,191887309.0,,,,1422992.29
2020-01-03,68428.500451,413055.18895,1458450.49,70390779.3,102581046.7,109005714.0,,,,1789613.99
2020-01-04,29987.974977,184276.17102,1231281.06,34239655.4,55528746.4,123468609.0,,,,1241322.81
2020-01-05,38331.085604,254120.45343,1458003.02,54356477.7,71815282.1,66437147.0,,,,1524717.4
2020-01-06,54635.695316,408020.27375,1633712.04,234157239.2,131688800.5,108507039.0,,,,3301261.66
2020-01-07,91171.684661,447762.17281,1458769.7,206449580.6,210380672.5,121470207.0,,,,6873503.39
2020-01-08,112622.64264,570465.57764,1497529.49,148861801.3,228408557.2,205791636.0,,,,12147661.7
2020-01-09,64239.51983,366076.06569,1075088.98,75492140.5,86372611.3,80515080.0,,,,5099844.97
2020-01-10,82406.777448,409403.59507,1572086.31,145223181.5,160265699.1,222205607.0,,,,4235526.03
2020-01-11,54810.032667,368350.57939,1397398.3,119237732.2,82682827.3,94223943.0,,,,4347105.06
2020-01-12,38131.494336,229541.86137,2042903.51,70711714.4,74412951.5,49775170.0,,,,2502624.23
2020-01-13,31159.755683,207996.61865,1522093.0,50959156.8,48213285.1,66668055.0,,,,1977335.23
2020-01-14,120399.126742,1108476.31186,2711583.22,301142541.5,436406174.4,297610208.0,,,,7062307.44
2020-01-15,84816.297606,721687.80381,3041574.63,237606461.8,317415252.7,262905054.0,,,,6414464.86
2020-01-16,51991.074284,456170.86719,1842017.29,140095581.9,167386728.8,98583989.0,,,,4944704.42
2020-01-17,70897.737377,767180.67853,2734829.93,214368960.7,352746229.4,280388650.0,,,,12221911.1
2020-01-18,38294.746545,688783.17982,1903293.0,206939203.8,235080675.3,191378707.0,,,,4502826.05
2020-01-19,70676.889259,624681.28604,2128210.74,180887717.9,255673670.8,161012185.0,,,,6650884.78
2020-01-20,38896.639746,358092.8841,1576499.08,115112776.4,168161777.9,95126694.0,,,,4142689.53
2020-01-21,36494.687659,308007.6353,1923914.5,111913129.9,276447719.3,130661575.0,,,,3244654.09
2020-01-22,29080.557138,272240.90286,1607749.78,84725853.4,130329910.9,72204081.0,,,,1637205.02
2020-01-23,48165.944597,373414.34985,1363632.79,105762250.0,196962912.5,120187526.0,,,,4806803.21
2020-01-24,41687.529529,430013.19902,1411501.98,121855078.5,208401165.6,72913429.0,,,,4161651.97
